pizza_name_id,pizza_name,pizza_ingredients,Items_Qty_In_Grams,predicted_quantity,total_ingredient_qty
bbq_ckn_l,The Barbecue Chicken Pizza,Barbecued Chicken,40.0,84,3360.0
bbq_ckn_l,The Barbecue Chicken Pizza,Red Peppers,15.0,84,1260.0
bbq_ckn_l,The Barbecue Chicken Pizza,Green Peppers,20.0,84,1680.0
bbq_ckn_l,The Barbecue Chicken Pizza,Tomatoes,30.0,84,2520.0
bbq_ckn_l,The Barbecue Chicken Pizza,Red Onions,60.0,84,5040.0
bbq_ckn_l,The Barbecue Chicken Pizza,Barbecue Sauce,15.0,84,1260.0
bbq_ckn_m,The Barbecue Chicken Pizza,Barbecued Chicken,30.0,95,2850.0
bbq_ckn_m,The Barbecue Chicken Pizza,Red Peppers,10.0,95,950.0
bbq_ckn_m,The Barbecue Chicken Pizza,Green Peppers,15.0,95,1425.0
bbq_ckn_m,The Barbecue Chicken Pizza,Tomatoes,20.0,95,1900.0
bbq_ckn_m,The Barbecue Chicken Pizza,Red Onions,40.0,95,3800.0
bbq_ckn_m,The Barbecue Chicken Pizza,Barbecue Sauce,10.0,95,950.0
bbq_ckn_s,The Barbecue Chicken Pizza,Barbecued Chicken,20.0,27,540.0
bbq_ckn_s,The Barbecue Chicken Pizza,Red Peppers,5.0,27,135.0
bbq_ckn_s,The Barbecue Chicken Pizza,Green Peppers,20.0,27,540.0
bbq_ckn_s,The Barbecue Chicken Pizza,Tomatoes,10.0,27,270.0
bbq_ckn_s,The Barbecue Chicken Pizza,Red Onions,20.0,27,540.0
bbq_ckn_s,The Barbecue Chicken Pizza,Barbecue Sauce,5.0,27,135.0
big_meat_s,The Big Meat Pizza,Bacon,150.0,115,17250.0
big_meat_s,The Big Meat Pizza,Pepperoni,50.0,115,5750.0
big_meat_s,The Big Meat Pizza,Italian Sausage,10.0,115,1150.0
big_meat_s,The Big Meat Pizza,Chorizo Sausage,50.0,115,5750.0
brie_carre_s,The Brie Carre Pizza,Brie Carre Cheese,30.0,38,1140.0
brie_carre_s,The Brie Carre Pizza,Prosciutto,30.0,38,1140.0
brie_carre_s,The Brie Carre Pizza,Caramelized Onions,16.0,38,608.0
brie_carre_s,The Brie Carre Pizza,Pears,10.0,38,380.0
brie_carre_s,The Brie Carre Pizza,Thyme,5.0,38,190.0
brie_carre_s,The Brie Carre Pizza,Garlic,5.0,38,190.0
calabrese_l,The Calabrese Pizza,?duja Salami,60.0,21,1260.0
calabrese_l,The Calabrese Pizza,Pancetta,90.0,21,1890.0
calabrese_l,The Calabrese Pizza,Tomatoes,30.0,21,630.0
calabrese_l,The Calabrese Pizza,Red Onions,60.0,21,1260.0
calabrese_l,The Calabrese Pizza,Friggitello Peppers,15.0,21,315.0
calabrese_l,The Calabrese Pizza,Garlic,15.0,21,315.0
calabrese_m,The Calabrese Pizza,?duja Salami,40.0,40,1600.0
calabrese_m,The Calabrese Pizza,Pancetta,60.0,40,2400.0
calabrese_m,The Calabrese Pizza,Tomatoes,20.0,40,800.0
calabrese_m,The Calabrese Pizza,Red Onions,40.0,40,1600.0
calabrese_m,The Calabrese Pizza,Friggitello Peppers,10.0,40,400.0
calabrese_m,The Calabrese Pizza,Garlic,10.0,40,400.0
calabrese_s,The Calabrese Pizza,?duja Salami,20.0,9,180.0
calabrese_s,The Calabrese Pizza,Pancetta,30.0,9,270.0
calabrese_s,The Calabrese Pizza,Tomatoes,10.0,9,90.0
calabrese_s,The Calabrese Pizza,Red Onions,20.0,9,180.0
calabrese_s,The Calabrese Pizza,Friggitello Peppers,5.0,9,45.0
calabrese_s,The Calabrese Pizza,Garlic,5.0,9,45.0
cali_ckn_l,The California Chicken Pizza,Chicken,150.0,92,13800.0
cali_ckn_l,The California Chicken Pizza,Artichokes,20.0,92,1840.0
cali_ckn_l,The California Chicken Pizza,Spinach,45.0,92,4140.0
cali_ckn_l,The California Chicken Pizza,Garlic,15.0,92,1380.0
cali_ckn_l,The California Chicken Pizza,Jalapeno Peppers,15.0,92,1380.0
cali_ckn_l,The California Chicken Pizza,Fontina Cheese,30.0,92,2760.0
cali_ckn_l,The California Chicken Pizza,Gouda Cheese,30.0,92,2760.0
cali_ckn_m,The California Chicken Pizza,Chicken,100.0,85,8500.0
cali_ckn_m,The California Chicken Pizza,Artichokes,15.0,85,1275.0
cali_ckn_m,The California Chicken Pizza,Spinach,30.0,85,2550.0
cali_ckn_m,The California Chicken Pizza,Garlic,10.0,85,850.0
cali_ckn_m,The California Chicken Pizza,Jalapeno Peppers,10.0,85,850.0
cali_ckn_m,The California Chicken Pizza,Fontina Cheese,20.0,85,1700.0
cali_ckn_m,The California Chicken Pizza,Gouda Cheese,20.0,85,1700.0
cali_ckn_s,The California Chicken Pizza,Chicken,50.0,37,1850.0
cali_ckn_s,The California Chicken Pizza,Artichokes,10.0,37,370.0
cali_ckn_s,The California Chicken Pizza,Spinach,15.0,37,555.0
cali_ckn_s,The California Chicken Pizza,Garlic,5.0,37,185.0
cali_ckn_s,The California Chicken Pizza,Jalapeno Peppers,5.0,37,185.0
cali_ckn_s,The California Chicken Pizza,Fontina Cheese,10.0,37,370.0
cali_ckn_s,The California Chicken Pizza,Gouda Cheese,10.0,37,370.0
ckn_alfredo_l,The Chicken Alfredo Pizza,Chicken,150.0,19,2850.0
ckn_alfredo_l,The Chicken Alfredo Pizza,Red Onions,60.0,19,1140.0
ckn_alfredo_l,The Chicken Alfredo Pizza,Red Peppers,15.0,19,285.0
ckn_alfredo_l,The Chicken Alfredo Pizza,Mushrooms,60.0,19,1140.0
ckn_alfredo_l,The Chicken Alfredo Pizza,Asiago Cheese,30.0,19,570.0
ckn_alfredo_l,The Chicken Alfredo Pizza,Alfredo Sauce,20.0,19,380.0
ckn_alfredo_m,The Chicken Alfredo Pizza,Chicken,100.0,70,7000.0
ckn_alfredo_m,The Chicken Alfredo Pizza,Red Onions,40.0,70,2800.0
ckn_alfredo_m,The Chicken Alfredo Pizza,Red Peppers,10.0,70,700.0
ckn_alfredo_m,The Chicken Alfredo Pizza,Mushrooms,40.0,70,2800.0
ckn_alfredo_m,The Chicken Alfredo Pizza,Asiago Cheese,20.0,70,1400.0
ckn_alfredo_m,The Chicken Alfredo Pizza,Alfredo Sauce,15.0,70,1050.0
ckn_alfredo_s,The Chicken Alfredo Pizza,Chicken,50.0,10,500.0
ckn_alfredo_s,The Chicken Alfredo Pizza,Red Onions,20.0,10,200.0
